x,y,z
39.45909882,50.14102554,8.12666607
49.6937027,47.91831207,2.93018222
65.17836761,18.91070938,70.68084717
22.90769958,61.14263916,0.88731295
53.95727158,25.70375061,22.94205284
40.6874733,92.73311615,55.88232422
27.55237579,93.97141266,67.45136261
45.14073563,49.02185822,11.28460121
12.93362617,59.27845383,14.78644943
44.22318268,97.4638443,67.59170532
6.82569742,67.69071198,8.0135355
62.91014862,74.46009827,93.6348877
24.36515808,32.89372635,37.78547668
23.96843529,57.62452316,19.73621178
86.95259857,14.71015167,74.10710144
54.91722488,9.31211662,83.26439667
46.93050766,65.19138336,16.8302784
80.81167603,14.05828667,82.47102356
94.81494904,99.11510468,13.6979208
67.43198395,88.25045013,46.68076706
57.2543335,97.62008667,93.41596985
99.89259338,94.79768372,21.81084442
37.07126999,95.38189697,68.23530579
28.54658508,53.89118576,1.57481301
56.89177704,23.77928543,6.58287859
80.54001617,27.79802704,34.54416656
44.23336029,79.07972717,98.73845673
67.56000519,17.99660301,11.16627407
58.94591904,11.2024622,79.81736755
43.42028427,48.79083633,7.31849527
54.62800598,99.94132996,83.79678345
5.68002748,34.67403412,30.7105217
78.54908752,90.10887909,15.23036957
97.91606903,18.45188332,67.1240387
53.97767258,69.29884338,37.08269119
46.85355759,83.39954376,90.82160187
27.75287056,27.28370476,0.42737603
32.54044342,76.07624817,18.59289932
52.16914749,29.61883163,21.74172211
94.78448486,17.12469482,68.89450836
95.64273071,97.25305176,71.42802429
47.20846176,67.88041687,36.8159523
59.96182632,18.93611908,62.41728592
15.34524822,56.46065521,12.31658173
43.86275864,9.51222134,91.0530014
35.34391022,7.02379513,15.44955444
25.20826149,92.23532104,59.42168427
28.38111496,62.39302444,25.66025352
50.48204041,35.85274887,20.19023323
0.42261738,38.17058945,66.24113464
65.07822418,95.3081131,73.67695618
9.4583292,40.00665665,30.28948212
58.98797607,13.47846127,0.72029972
94.25283813,99.25217438,9.60337543
18.13705635,39.31548691,35.4634285
10.50751019,68.03385162,9.95000553
79.26101685,26.36541748,20.27647781
65.4553833,14.99801064,9.6687479
13.1223278,94.88980103,77.50252533
15.8502388,99.89917755,27.55600548
85.64646149,14.81798935,66.32554626
67.16806793,83.30910492,16.46330261
16.12612343,91.01776123,71.83273315
21.02583122,80.8388443,53.2773819
59.00003815,46.95730972,1.27656138
70.22079468,83.62200928,31.34224701
64.46434021,0.87861693,10.79106331
9.00222778,64.10705566,10.71410179
90.18812561,15.36781693,71.4972229
54.20554733,24.91437149,25.06918526
89.04219055,11.56423187,75.29788208
56.00485611,19.49224854,56.28214264
60.30218124,77.81716919,37.72376251
11.75491524,71.21614075,33.69659805
29.53998566,97.33500671,31.79818726
13.38637543,99.35694122,36.26028061
26.71674728,77.54885864,23.90510559
12.61768246,87.96324158,31.87819099
21.40216446,58.78743362,4.93920231
12.00963974,71.69371796,36.09418488
24.00254822,28.29490852,1.19901228
59.71747589,18.93746376,81.86467743
17.57374191,98.3581543,23.41616249
46.7877121,73.33365631,14.36053562
36.98521423,12.83555317,17.1014328
63.64023209,12.47727108,7.46689129
92.28289795,85.22635651,39.84902954
11.44450569,69.71749115,40.04681396
59.96241379,9.35697937,1.88359058
8.44069767,39.82361221,25.48759842
65.40423584,85.99537659,40.27062988
28.07829285,69.56008911,33.09179688
83.36801147,91.70015717,67.35165405
10.66044617,93.51597595,28.44305229
46.78479004,25.05144119,27.61610413
53.27545929,20.3413868,43.3314209
11.08774376,39.86724854,36.84846878
38.3153038,5.38944149,41.82444763
67.89520264,65.26529694,77.84112549
37.73399353,54.18621063,98.80477142
58.15312576,44.48385239,17.91434288
94.77760315,80.09546661,27.02213287
75.66793823,25.80605316,18.05353165
78.32397461,14.98705196,83.16589355
34.83325577,50.13285065,6.51337528
56.65797424,98.9943161,82.5477829
80.78900909,91.05523682,40.64958191
73.5331955,25.23847961,17.16612244
57.37364197,47.54032898,1.49368823
23.04159737,61.22431564,75.41672516
66.78812408,24.48253441,18.65147209
23.02714348,18.79517365,39.71298599
50.80821991,38.96966553,45.13620758
64.37297058,67.14296722,97.32710266
29.45986748,72.90740204,17.38766289
10.18949413,44.06120682,44.59989929
